PUMACE10,FIPS,NAME_1
11702,61,Snohomish
11701,61,Snohomish
11704,61,Snohomish
11703,61,Snohomish
11705,61,Snohomish
11706,61,Snohomish
11802,35,Kitsap
11801,35,Kitsap
11603,33,King
11604,33,King
11605,33,King
11611,33,King
11610,33,King
11613,33,King
11614,33,King
11612,33,King
11609,33,King
11608,33,King
11607,33,King
11602,33,King
11601,33,King
11606,33,King
11616,33,King
11615,33,King
11504,53,Pierce
11506,53,Pierce
11507,53,Pierce
11503,53,Pierce
11505,53,Pierce
11501,53,Pierce
11502,53,Pierce
