,0
0,530330249022
1,530330249023
2,530330229011
3,530330249033
4,530330239003
5,530330248002
6,530330249012
7,530330234032
8,530330248003
9,530330249021
10,530330228014
11,530330232012
12,530330232013
13,530330236042
14,530330236043
15,530330249032
16,530330238032
17,530330238043
18,530330238042
19,530330238041
20,530330238031
21,530330247024
22,530330231003
23,530330250013
24,530330228013
25,530330228011
26,530330230003
27,530330230004
28,530330236011
29,530330236031
30,530330236032
31,530330233004
32,530330233002
33,530330233001
34,530330233003
35,530330234011
36,530330234012
37,530330234013
38,530330235003
39,530330235001
40,530330235002
41,530330236041
42,530330236012
43,530330236013
44,530330237002
45,530330238011
46,530330237001
47,530330237003
48,530330240002
49,530330238012
50,530330249034
51,530330239004
52,530330239001
53,530330240004
54,530330239002
55,530330249013
56,530330240001
57,530330247011
58,530330250014
59,530330247013
60,530330248001
61,530330249014
62,530330229012
63,530330250035
64,530330234033
65,530330232021
66,530330250034
67,530330234031
68,530330250061
69,530330236034
70,530330232022
71,530330230002
72,530330230001
73,530330231001
74,530330231002
75,530330232011
76,530330236033
77,530330250031
78,530330250032
79,530330228012
80,530330236044
81,530330228033
82,530330240003
83,530330250063
84,530330249031
85,530330249011
86,530330247012
87,530330227031
88,530330250033
89,530330232023
90,530330247022
91,530330250052
92,530330229025
