PARCELID,APARKS,EMPEDU_P,EMPFOO_P,EMPGOV_P,EMPIND_P,EMPMED_P,EMPOFC_P,EMPOTH_P,EMPRET_P,EMPRSC_P,EMPSVC_P,EMPTOT_P,HH_P,LUTYPE_P,NPARKS,PARKDY_P,PARKHR_P,PPRICDYP,PPRICHRP,SQFT_P,STUGRD_P,STUHGH_P,STUUNI_P,TAZ_P,XCOORD_P,YCOORD_P
3325,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,22,0,0,0,0,0,170009,0,0,0,11,1302290.0,226928.0
789461,0,0,0,0.0,0,6,8,0,0,0,3,17.0,0,18,0,0,0,0,0,21516,0,0,0,11,1301730.0,228137.0
789462,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,21613,0,0,0,11,1301730.0,227985.0
789463,0,0,0,0.0,0,0,0,0,0,0,4,4.0,0,3,0,0,0,0,0,86401,0,0,0,11,1301940.0,228056.0
789464,0,0,851,0.0,215,4,246,47,2480,0,337,4180.0,0,3,0,0,0,0,0,804235,0,0,0,11,1302500.0,227614.0
789465,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,6186,0,0,0,11,1302760.0,228135.0
789466,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,4579,0,0,0,11,1302680.0,228151.0
789467,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,9603,0,0,0,11,1302840.0,228132.0
789468,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,20,0,0,0,0,0,8715,0,0,0,11,1302840.0,227256.0
789469,0,0,41,0.0,164,0,4,0,1131,0,6,1346.0,0,3,0,0,0,0,0,356588,0,0,0,11,1301940.0,227580.0
789470,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,2943,0,0,0,11,1301730.0,227079.0
789471,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,16302,0,0,0,11,1301730.0,227011.0
789472,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,10622,0,0,0,11,1301730.0,227207.0
789473,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,11125,0,0,0,11,1301730.0,227129.0
789474,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,64750,0,0,0,11,1301970.0,227092.0
789475,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,17510,0,0,0,11,1301830.0,227096.0
789476,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,41139,0,0,0,11,1302160.0,227088.0
789477,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,47570,0,0,0,11,1302770.0,227122.0
789478,0,0,0,0.0,0,0,0,0,0,0,3,3.0,0,3,0,0,0,0,0,1665,0,0,0,11,1302770.0,226951.0
789479,0,0,1,0.0,0,0,0,0,0,0,7,8.0,0,3,0,0,0,0,0,12551,0,0,0,11,1302830.0,226980.0
789480,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,10232,0,0,0,11,1302700.0,226978.0
