OBJECTID,MAJOR,MINOR,PIN,SHAPE_LENGTH,SHAPE_AREA,COUNTY,JURISDICTION,HASPARCELLU,PSRCID,FIRSTOFTAXPAYERNAME,PROPNAME,EDU_LOW,EDU_MED,EDU_HIGH,FOO_LOW,FOO_MED,FOO_HIGH,GOV_VERYLOW,GOV_LOW,GOV_MED,GOV_HIGH,GOV_VERYHIGH,IND_LOW,IND_MED,IND_HIGH,NOEMP,MED_LOW,MED_MED,MED_HIGH,OFC_LOW,OFC_MED,OFC_HIGH,OTH_LOW,OTH_MED,OTH_HIGH,RET_VERYLOW,RET_LOW,RET_MED,RET_HIGH,SVC_LOW,SVC_MED,SVC_HIGH,SFUNITS,APTUNITS,CONDOUNITS,TAZ_P,SUBAREA,CONVERSION,EMPTOT_P,EMPEDU_P,SQFT_EDU,EMPFOO_P,SQFT_FOO,EMPGOV_P,SQFT_GOV,EMPIND_P,SQFT_IND,EMPMED_P,SQFT_MED,EMPOFC_P,SQFT_OFC,EMPOTH_P,SQFT_OTH,EMPRET_P,SQFT_RET,EMPSVC_P,SQFT_SVC,EMPEDU_ESD,EMPFOO_ESD,EMPGOV_ESD,EMPIND_ESD,EMPMED_ESD,EMPOFC_ESD,EMPOTH_ESD,EMPRET_ESD,EMPSVC_ESD,EMPTOT_ESD
6427,11410,124,114100124,843.7120276,17535.9858,King,Kenmore,1,679706,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,916.0,42.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
6516,11410,280,114100280,1238.626509,46428.12574,King,Kenmore,1,679772,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916.0,42.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
7073,12000,51,120000051,735.1099079,19065.91256,King,Kirkland,1,680364,BAUNSGARD E N MR & MRS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,734.0,29.0,high,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
8536,12305,9049,123059049,799.7268166,39971.89095,King,,1,681830,HALL SUE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,642.0,48.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,1.0
8885,12505,9051,125059051,4863.032899,1028517.587,King,Redmond,1,682182,KELLER FRED,VACANT FARM LAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132.0,34.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
8912,12505,9131,125059131,2182.608674,209372.1009,King,Redmond,1,682182,KELLER FRED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132.0,34.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
9525,12604,9102,126049102,1389.448399,87029.18311,King,Kenmore,1,843926,EAST CREEK VILLAGE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916.0,42.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
9552,12604,9135,126049135,1561.132061,94354.52686,King,Kenmore,1,843927,EAST CREEK VILLAGE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916.0,42.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
9639,12604,9246,126049246,278.6732061,5011.017842,King,Kenmore,1,682925,HAGEMAN HOMES LLC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916.0,42.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
14822,22405,9034,224059034,4560.09539,185236.3559,King,Bellevue,1,688176,EBERTING CHERYL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300.0,9.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
